source,target,status
https://productbeacon.agency/services.html,https://productbeacon.agency/on-call.html,301
https://productbeacon.agency/axia-offer.html,https://productbeacon.agency/,301
https://productbeacon.agency/gtm-engine.html,https://productbeacon.agency/,301
https://productbeacon.agency/strategic-infrastructure.html,https://productbeacon.agency/,301
https://productbeacon.agency/insights/index.html,https://productbeacon.agency/research/,301
https://productbeacon.agency/insights/,https://productbeacon.agency/research/,301
https://productbeacon.agency/reports/state-of-cyber-2026/irm.html,https://productbeacon.agency/research/state-of-cyber-2026/irm.html,301
https://productbeacon.agency/reports/state-of-cyber-2026/dlp.html,https://productbeacon.agency/research/state-of-cyber-2026/dlp.html,301
https://productbeacon.agency/reports/state-of-cyber-2026/dspm.html,https://productbeacon.agency/research/state-of-cyber-2026/dspm.html,301
https://productbeacon.agency/reports/state-of-cyber-2026/convergence.html,https://productbeacon.agency/research/state-of-cyber-2026/convergence.html,301
https://productbeacon.agency/reports/state-of-cyber-2026/irm-podcast.html,https://productbeacon.agency/research/state-of-cyber-2026/irm-podcast.html,301
https://productbeacon.agency/reports/state-of-cyber-2026/dlp-podcast.html,https://productbeacon.agency/research/state-of-cyber-2026/dlp-podcast.html,301
https://productbeacon.agency/reports/state-of-cyber-2026/dspm-podcast.html,https://productbeacon.agency/research/state-of-cyber-2026/dspm-podcast.html,301
https://productbeacon.agency/reports/state-of-cyber-2026/convergence-podcast.html,https://productbeacon.agency/research/state-of-cyber-2026/convergence-podcast.html,301
https://productbeacon.agency/reports/state-of-cyber-2026/launch-strategy.html,https://productbeacon.agency/research/state-of-cyber-2026/launch-strategy.html,301
https://productbeacon.agency/research/state-of-cyber-2026/brief.html,https://productbeacon.agency/research/state-of-cyber-2026/pre-call-brief.html,301
